DYAD,agree,point_ag,enjoyable,stressful,comfortable,difficult,judged,future,value,agree diff,valid,convincing,respect,emotion,logic,like,willing,impact
13,1,0,7,1,7,1,7,7,7,1,7,6,6,1,7,7,7,2
13,1,0,7,2,7,7,3,7,6,2,7,7,7,1,7,7,7,6
18,1,4,7,1,7,1,1,7,7,1,7,7,7,1,7,7,7,7
18,1,4,5,2,6,4,2,6,6,4,5,3,6,4,4,5,5,3
24,1,4,6,1,7,1,1,7,7,2,7,5,7,1,6,6,6,5
24,1,4,7,1,7,1,1,7,7,2,5,3,7,4,5,5,7,3
25,0,-999,6,2,3,6,1,7,7,3,7,6,7,4,7,4,7,4
25,0,-999,7,1,6,1,1,7,7,6,6,5,7,6,4,5,7,4
29,0,-999,7,5,3,5,2,5,6,3,6,3,6,3,6,7,7,2
29,0,-999,6,3,6,2,5,7,7,7,5,2,5,6,4,6,7,1
37,1,9,1,2,7,2,1,7,6,1,7,7,7,4,6,6,6,5
37,1,8,7,7,7,1,1,7,7,1,6,6,6,3,6,7,7,4
42,1,8,6,2,6,2,2,6,6,2,6,6,6,5,6,6,6,6
42,1,8,7,2,6,1,2,6,6,1,7,5,5,2,5,6,6,5
48,0,-999,7,1,7,1,1,7,7,7,7,7,7,1,7,7,7,7
48,0,-999,6,2,7,2,1,5,7,4,5,4,7,6,3,4,6,4
53,1,4,7,2,7,1,2,6,6,2,7,6,7,5,7,6,6,6
53,1,4,6,2,6,1,1,7,7,1,6,5,6,3,6,7,7,5
55,1,5,7,7,6,7,1,7,7,3,5,3,6,6,5,7,7,2
55,1,5,7,3,7,7,1,7,6,7,1,5,7,7,1,5,7,3
67,1,7,6,1,7,2,1,7,5,1,5,3,7,5,4,6,6,2
67,1,7,4,2,6,2,4,6,6,2,7,4,7,5,5,4,5,1
56,1,1,7,7,7,1,1,7,7,1,7,7,7,1,7,7,7,6
56,1,2,7,1,1,1,1,7,5,7,7,5,7,1,7,7,7,5
72,1,6,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,3
72,1,6,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,7
87,1,5,6,2,5,1,2,7,7,2,6,6,7,4,5,5,5,6
87,1,5,6,5,7,5,3,7,7,2,6,6,7,4,5,6,6,5
90,1,10,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,7
90,1,10,7,1,7,1,1,7,7,1,7,7,7,5,6,6,7,7
92,1,7,7,1,7,1,1,7,7,1,7,7,7,5,7,7,7,7
92,1,7,6,1,7,1,1,7,7,1,7,7,7,2,4,6,7,5
101,1,5,7,1,7,1,1,7,7,1,7,7,7,7,7,7,7,7
101,1,5,4,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4
114,1,8,5,3,6,2,2,6,5,2,6,6,6,2,6,5,5,5
114,1,8,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,1
89,0,-999,5,3,6,4,2,7,5,7,1,2,2,3,1,5,7,1
89,0,-999,7,1,7,1,1,7,7,4,7,7,7,4,4,7,7,1
8,1,0,7,1,7,1,1,7,7,5,7,3,7,3,5,7,7,1
8,0,-999,5,2,6,3,5,7,6,4,5,5,6,5,4,4,6,5
12,1,9,7,1,7,1,1,7,7,1,7,7,7,1,7,7,7,7
12,1,9,7,1,7,1,1,4,4,1,6,6,7,3,5,6,4,6
16,1,5,5,4,5,4,2,5,5,4,7,3,6,2,4,4,6,1
16,1,5,6,1,6,2,2,6,5,2,6,5,7,4,5,6,6,5
28,1,3,7,2,7,1,1,7,7,1,6,7,7,6,6,6,6,4
28,1,3,7,1,7,1,1,7,6,1,7,6,7,6,6,7,6,6
33,1,6,6,2,6,1,1,7,7,1,7,6,7,4,6,4,6,6
33,1,6,6,2,6,3,1,6,6,2,6,6,6,3,6,6,6,2
41,1,9,7,1,6,1,1,6,4,2,6,5,7,6,5,6,6,5
41,1,9,6,1,7,1,1,5,7,1,7,7,7,4,7,7,7,7
51,1,8,7,1,1,1,1,7,7,1,7,7,7,1,7,7,7,4
51,1,8,7,1,7,2,1,6,6,1,7,7,7,5,7,6,7,5
66,1,8,6,1,6,1,2,7,7,1,6,6,6,2,5,4,6,4
66,1,8,7,1,7,1,1,7,7,1,5,4,7,1,5,5,7,2
82,0,-999,7,6,7,5,1,7,7,7,7,6,7,1,7,6,7,6
82,1,2,4,4,6,3,2,3,7,6,6,2,6,5,5,4,4,4
96,0,-999,6,5,7,4,4,7,7,5,5,4,6,4,4,6,6,5
96,1,4,6,1,4,1,2,7,7,2,6,3,6,1,1,6,7,5
108,0,-999,7,1,6,2,1,7,6,3,7,5,7,2,5,7,7,2
108,1,6,4,2,7,2,5,6,4,5,5,5,5,3,5,4,4,1
107,1,8,6,2,7,1,1,6,7,1,6,6,7,1,7,6,6,4
107,1,8,6,2,6,1,2,6,6,2,6,6,6,3,6,6,6,6
5,1,4,6,1,5,2,2,-999,-999,-999,5,2,1,5,5,5,-999,-999
5,1,4,7,1,7,1,1,-999,-999,-999,5,5,6,2,6,5,-999,-999
45,1,7,7,1,7,1,1,7,7,1,7,7,7,4,7,7,7,5
45,1,7,7,1,7,1,7,7,7,1,5,5,5,6,5,6,7,5
50,1,5,7,7,7,1,1,6,6,2,6,5,7,2,6,7,6,6
50,1,5,6,2,6,2,2,6,7,2,6,6,6,2,6,5,6,6
47,0,-999,6,3,7,2,1,7,7,4,5,5,7,2,6,6,7,6
47,1,4,7,2,6,4,1,7,3,2,7,7,7,4,6,7,7,6
61,1,6,7,7,6,2,2,7,6,1,6,6,6,6,3,7,6,7
61,1,6,6,6,7,6,6,7,7,7,7,7,7,4,7,7,7,6
64,1,6,6,1,7,2,2,7,7,3,6,5,5,6,5,6,7,6
64,1,6,6,6,6,1,1,7,6,6,7,6,7,2,6,6,7,6
76,1,10,7,1,7,1,1,7,7,1,7,6,7,4,7,7,6,2
76,1,10,7,1,7,1,1,7,7,1,7,7,7,4,4,7,7,6
77,0,-999,7,1,6,2,2,7,7,5,4,3,5,2,5,6,6,2
77,0,-999,6,1,6,1,2,7,7,5,7,6,7,4,5,5,7,4
79,1,10,7,1,7,1,1,7,7,1,7,7,7,1,7,7,7,7
79,1,10,7,1,7,1,1,7,7,1,6,6,7,4,6,6,5,4
104,1,5,5,6,3,5,5,4,6,3,7,6,7,4,5,6,6,6
104,1,5,7,2,7,2,1,7,6,5,6,5,7,2,5,7,7,5
111,1,10,7,1,7,1,1,7,7,7,7,7,7,1,1,7,7,1
111,1,10,7,1,7,1,1,7,7,7,7,7,7,1,7,7,7,1
20,0,-999,6,3,7,1,1,7,7,6,6,5,6,5,5,5,7,5
20,0,-999,7,4,7,4,4,7,7,4,7,7,7,7,7,5,7,7
19,0,-999,7,1,7,1,1,7,7,2,5,4,7,6,3,4,6,3
19,0,-999,3,5,4,5,1,7,6,4,7,5,7,5,6,6,7,6
27,1,5,7,1,7,1,1,7,7,2,7,5,7,5,6,4,7,2
27,1,5,7,1,6,1,2,6,7,2,7,4,6,3,7,7,6,6
31,1,2,5,3,5,2,3,6,2,2,5,3,5,3,3,4,4,3
31,1,2,7,1,7,2,1,7,7,1,7,7,7,2,6,6,7,4
35,0,-999,7,1,7,3,2,7,7,2,6,6,6,3,6,7,7,6
35,0,-999,7,1,7,1,1,7,7,1,6,3,6,4,5,7,7,2
40,1,5,6,2,5,1,2,7,4,2,5,2,7,5,5,6,7,1
40,1,5,7,3,5,3,3,7,7,7,7,4,7,7,7,7,7,1
54,1,6,6,7,7,4,1,6,4,3,6,6,7,3,6,7,7,5
54,1,6,6,1,7,1,2,7,6,4,5,1,6,2,3,4,6,1
106,1,5,7,1,7,1,1,7,7,1,7,7,7,7,7,7,7,7
106,1,5,7,3,6,1,1,7,7,1,7,7,7,7,7,7,7,7
149,1,5,7,1,6,1,1,7,7,1,7,6,7,2,7,7,7,6
149,1,5,6,1,6,1,1,7,7,1,7,7,7,1,7,7,7,5
34,1,6,7,5,6,2,1,7,7,5,6,6,7,2,7,7,7,7
34,1,9,6,1,6,2,1,6,6,1,6,7,7,2,6,3,6,2
39,0,-999,4,2,6,5,2,5,7,2,6,5,6,2,6,4,5,6
39,0,-999,7,2,3,5,4,7,7,3,7,4,7,5,2,5,7,1
83,1,5,7,2,7,2,1,7,7,3,5,6,7,3,4,7,7,5
83,1,5,7,1,7,1,1,7,7,1,6,5,7,2,6,7,7,5
93,1,5,7,1,7,1,1,7,7,1,7,7,7,4,5,7,7,6
93,1,5,7,1,6,2,1,7,6,1,7,6,7,5,6,6,7,6
14,0,-999,7,2,7,3,5,7,7,5,4,2,6,6,4,4,7,2
14,0,-999,3,3,6,3,1,6,7,6,1,1,5,7,5,5,7,1
84,0,-999,7,2,5,2,2,6,6,4,6,5,6,5,4,7,7,3
84,0,-999,5,4,7,2,1,7,7,7,6,4,7,7,7,6,7,2
95,1,5,7,2,7,2,2,7,7,2,6,5,7,4,6,7,7,4
95,1,5,7,1,7,1,1,7,7,3,7,6,7,5,6,6,7,6
146,1,3,7,1,7,2,1,7,7,1,6,4,7,6,3,6,6,2
146,1,3,7,1,7,1,1,7,7,2,6,6,6,4,4,6,7,6
71,1,5,5,1,4,2,2,7,7,1,6,6,6,5,5,4,6,5
71,1,5,6,6,7,2,1,7,7,3,6,5,7,6,4,7,7,6